class,spec,hero_cluster,label,note
Death Knight,Frost,0,,
Death Knight,Frost,1,,
Death Knight,Unholy,0,,
Death Knight,Unholy,1,,
Demon Hunter,Devourer,0,,
Demon Hunter,Devourer,1,,
Demon Hunter,Havoc,0,,
Demon Hunter,Havoc,1,,
Druid,Balance,0,,
Druid,Balance,1,,
Druid,Feral,0,,
Druid,Feral,1,,
Evoker,Augmentation,0,,
Evoker,Augmentation,1,,
Evoker,Devastation,0,,
Evoker,Devastation,1,,
Hunter,Beast Mastery,0,,
Hunter,Beast Mastery,1,,
Hunter,Marksmanship,0,,
Hunter,Marksmanship,1,,
Hunter,Survival,0,,
Hunter,Survival,1,,
Mage,Fire,0,,
Mage,Fire,1,,
Mage,Frost,0,,
Mage,Frost,1,,
Monk,Windwalker,0,,
Monk,Windwalker,1,,
Paladin,Retribution,0,,
Paladin,Retribution,1,,
Priest,Shadow,0,,
Priest,Shadow,1,,
Rogue,Assassination,0,,
Rogue,Assassination,1,,
Rogue,Outlaw,0,,
Rogue,Outlaw,1,,
Rogue,Subtlety,0,,
Rogue,Subtlety,1,,
Shaman,Elemental,0,,
Shaman,Elemental,1,,
Shaman,Enhancement,0,,
Shaman,Enhancement,1,,
Warlock,Affliction,0,,
Warlock,Affliction,1,,
Warlock,Demonology,0,,
Warlock,Demonology,1,,
Warlock,Destruction,0,,
Warlock,Destruction,1,,
Warrior,Arms,0,,
Warrior,Arms,1,,
Warrior,Fury,0,,
Warrior,Fury,1,,
